date,temp
2019-09-14,89.6
2019-09-15,87.2
2019-09-16,90.2
2019-09-17,90.2
2019-09-18,87.7
2019-09-19,84.3
2019-09-20,86.4
2019-09-21,82.4
2019-09-22,81.0
2019-09-23,84.3
2019-09-24,85.0
2019-09-25,86.3
2019-09-26,85.4
2019-09-27,83.3
2019-09-28,83.5
2019-09-29,81.8
2019-09-30,81.3
2019-01-10,83.6
2019-02-10,84.2
2019-03-10,83.8
2019-04-10,80.8
2019-05-10,81.2
2019-06-10,81.7
2019-07-10,81.8
2019-08-10,80.9
2019-09-10,81.5
2019-10-10,81.8
2019-11-10,82.2
2019-12-10,82.6
2019-10-13,82.1
2019-10-14,81.6
2019-10-15,83.5
2019-10-16,83.5
2019-10-17,82.7
2019-10-18,83.3
2019-10-19,81.2
2019-10-20,78.8
2019-10-21,76.4
2019-10-22,77.4
2019-10-23,77.6
2019-10-24,78.1
2019-10-25,77.3
2019-10-26,76.9
2019-10-27,77.2
2019-10-28,77.0
2019-10-29,75.4
2019-10-30,77.4
2019-10-31,76.5
2019-01-11,77.8
2019-02-11,76.1
2019-03-11,74.1
2019-04-11,75.4
2019-05-11,74.3
2019-06-11,74.2
2019-07-11,69.0
2019-08-11,71.5
2019-09-11,70.8
2019-10-11,68.9
2019-11-11,67.4
2019-12-11,64.3
2019-11-13,68.5
2019-11-14,68.3
2019-11-15,70.1
2019-11-16,72.0
2019-11-17,73.4
2019-11-18,65.3
2019-11-19,66.2
2019-11-20,66.4
2019-11-21,66.7
2019-11-22,67.5
2019-11-23,68.8
2019-11-24,69.2
2019-11-25,68.0
2019-11-26,69.3
2019-11-27,68.7
2019-11-28,65.0
2019-11-29,64.5
2019-11-30,60.5
2019-01-12,60.2
2019-02-12,59.9
2019-03-12,59.8
2019-04-12,58.2
2019-05-12,58.0
2019-06-12,60.6
2019-07-12,59.2
2019-08-12,59.6
2019-09-12,58.7
2019-10-12,62.3
2019-11-12,60.4
2019-12-12,61.5
2019-12-13,59.4
2019-12-14,58.5
2019-12-15,57.5
2019-12-16,52.5
2019-12-17,51.1
2019-12-18,53.9
2019-12-19,50.5
2019-12-20,53.8
2019-12-21,54.6
2019-12-22,52.3
2019-12-23,49.2
2019-12-24,52.6
2019-12-25,47.1
2019-12-26,47.9
2019-12-27,47.5
2019-12-28,44.8
2019-12-29,47.8
2019-12-30,44.5
2019-12-31,46.6
